"tumbol_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
"830103",20,37,5,5,0,4,0,0,1,0.0705616709003669,0,0,0,0,1,1,0,1,0,0,4,2,2,0,0,0,0,0,0,0,1,0,1,2,2,2,1,0,0,0,0,"83"
"830104",5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"83"
"830105",14,37,3,3,0,1,0,0,2,0.0118012666692892,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,"83"
"830106",5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"83"
"830107",37,95,2,2,0,2,0,0,0,0.0208790061593068,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"83"
"830108",8,20,1,1,0,1,0,0,0,0.0200883889112093,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"83"
"830151",168,320,31,24,0,24,0,0,0,0.107296137339056,0,0,0,5,13,0,0,7,3,0,19,4,6,4,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,3,6,"83"
"830203",7,26,1,1,0,1,0,0,0,0.0222766763198931,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"83"
"830251",12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"83"
"830252",550,1069,97,74,0,74,0,0,0,0.654519724040333,0,0,0,10,1,0,0,0,0,0,74,0,2,1,0,5,0,0,1,0,5,0,0,3,4,0,0,0,0,0,0,"83"
"830301",6,29,7,6,0,6,0,0,0,0.0659340659340659,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,"83"
"830302",13,26,4,4,0,4,0,0,0,0.0247816120438635,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,"83"
"830303",20,69,6,5,0,4,0,0,1,0.0613195977434388,0,0,0,0,0,1,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,1,3,3,1,0,0,3,0,"83"
"830304",18,59,3,2,0,1,0,0,1,0.0209161263334031,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"83"
"830305",281,639,56,43,0,42,0,0,2,0.479322260617545,0,0,0,2,18,2,0,0,3,5,39,8,6,0,0,3,0,0,0,2,4,0,7,5,11,1,2,0,0,3,2,"83"
"830306",6,17,2,2,0,2,0,0,0,0.0438500328875247,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"83"
"830352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"83"
"830353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"83"
